Date,GMHF_Mean,Mkt_RF,SMB,HML,RF,MOM,RMW,CMA,PTFSBD,PTFSFX,PTFSCOM,PTFSIR,PTFSSTK,CS_factor,DGS10,DEF,DIV,GDP,INFLTN,MKT,RREL,TERM,UNEMP,VIX
200309,0.0226,-1.24,0.79,0.02,0.08,-0.19,1.34,0.28,0.03,0.45,-0.01,-0.15,0.01,2.57,3.96,1.07,16.59,-1.29,185.1,-1.24,2.71,3.32,6.1,22.72
200310,0.0173,6.08,2.68,1.76,0.07,3.73,-1.58,1.58,-0.17,-0.08,0.02,-0.11,-0.25,2.36,4.33,1.03,16.86,0.3,184.9,6.08,2.72,3.35,6,16.1
200311,0.0019,1.35,2.01,1.86,0.07,1.62,0.07,1.69,-0.11,0.11,-0.08,0.04,-0.18,2.33,4.34,1.01,17.12,0.56,185,1.35,2.7,3.35,5.8,16.32
200312,0.0338,4.29,-3.01,2.42,0.08,-5.71,0,1,-0.07,0.03,0,-0.09,-0.02,2.34,4.27,0.98,17.39,0.07,185.5,4.29,2.73,3.35,5.7,18.31
200401,0.0065,2.15,2.8,1.97,0.07,2.6,-3.54,3.34,-0.14,0,0.04,-0.12,-0.12,2.19,4.16,0.9,17.6,-0.16,186.3,2.15,2.74,3.25,5.7,16.63
200402,0.02,1.4,-1.43,0.49,0.06,-1.09,2.28,-1.35,-0.1,-0.07,0.07,-0.07,-0.15,2.21,3.99,0.77,17.81,0.11,186.7,1.4,2.68,3.14,5.6,14.55
200403,0.0112,-1.32,1.75,0.21,0.09,0.21,1.5,-1.04,-0.01,0.12,0.15,-0.02,-0.02,2.29,3.86,0.78,18.02,0.34,187.1,-1.32,2.67,2.87,5.8,16.74
200404,-0.0284,-1.83,-2.06,-2.62,0.08,-5.39,3.3,-2.82,-0.02,-0.08,0.11,0.02,-0.18,2.05,4.53,0.73,18.21,0.34,187.4,-1.83,2.66,3.39,5.6,17.19
200405,-0.007,1.17,-0.21,-0.39,0.06,1.61,-0.98,-0.09,-0.13,-0.12,0.11,0.15,-0.26,2.03,4.66,0.71,18.41,0.47,188.2,1.17,2.57,3.68,5.6,15.5
200406,-0.0011,1.86,2.26,1.38,0.08,2.1,1.12,-0.39,-0.17,-0.18,-0.09,-0.18,-0.16,2.09,4.62,0.77,18.6,0.01,188.9,1.86,2.31,3.45,5.6,14.34
